trade_dttm,trader_id,trader_name,side,amount,price,value,event_id,market_title,market_subtitle,outcome,market_icon,trader_tags
2025-01-12 01:21:32,0x9b2b861dcc5d03f401af615dc8d9f9895e61e37f,lefeb11,sell,930.17,0.999,929.23983,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:16:59,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,220.23,0.9990000000000001,220.00977,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:16:59,0x9b7f58d172d901fba669e912b23b6cccabca3480,PaulF,sell,220.23,0.9990000000000001,220.00977,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:15:31,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,81.0,0.999,80.919,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:15:31,0xc849205bfe80dd2d28a8641a2c6119e7b9359bd3,TheWizzard,sell,81.0,0.999,80.919,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:12:59,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,1141.19,0.999,1140.04881,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:12:59,0x79ac45bd8dfcd8d429c1ca9ff96cada4eac71046,eldricktont,sell,1141.19,0.999,1140.04881,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,> 1 year old
2025-01-12 01:12:41,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,20.0,0.999,19.98,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:12:41,0x48b7a5fa7ca86d04ac03bc959d36e7709e2eee73,BakkenDrvr,sell,20.0,0.999,19.98,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:12:06,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,2083.34,0.9989999999999999,2081.25666,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:12:06,0x799021389054b5cf7ffa34e9a5734ded1c7bc870,LordLionel,sell,2083.34,0.9989999999999999,2081.25666,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL < -$10k
2025-01-12 01:10:24,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,139.23,0.999,139.09077,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:10:24,0x7d74f3e3b8e5aafc91df0a0884f5af719b925393,Yang33,sell,139.23,0.999,139.09077,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:09:34,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,4617.44,0.999,4612.82256,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:09:34,0x71ee4014b5cedc11023005752c9a081eb27b8cf8,Anon (0x71ee4014b5cedc11023005752c9a081eb27b8cf8),sell,4617.44,0.999,4612.82256,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:09:22,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,855.98,0.999,855.12402,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:09:22,0xc64d67e9c0758943d94946855326a9fde1aea1c9,luketheduke,sell,855.98,0.999,855.12402,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL < -$10k
2025-01-12 01:09:16,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,7.28,0.9989999999999999,7.27272,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:09:16,0x62d21d020b9f2748b3231655783a7a6e0345e4d2,matty7788,sell,7.28,0.9989999999999999,7.27272,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:08:48,0xf4b5a110627c0c87a3e3843633131a9b2c9ad159,IAmFoolish,buy,16441.83,0.9989999999999998,16425.38817,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 01:08:48,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,9787.65,0.001,9.78765,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 01:08:48,0x7ccf359f2c7344e3db5820fdb71ddafd5faf2fed,Geo9,sell,27612.42,0.9990000000000001,27584.80758,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL < -$10k; 1k+ Positions
2025-01-12 01:08:48,0x6cff25615924313a189d3bcd5ca99db452cdc3da,Panzwalizka,sell,1382.94,0.001,1.38294,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-01-12 01:08:40,0xd0493ad9666657774084e4c51501cedb0a1c1a06,MaverickofAtlas,sell,12.47,0.999,12.45753,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:08:40,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,12.47,0.001,0.01247,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 01:07:24,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,5.67,0.001,0.00567,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 01:07:24,0x4205847d1555f9689e45c7fe778e8a52822d46a7,Shadowpulse313,sell,5.67,0.999,5.66433,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 01:03:00,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,60.09,0.0009999999999999998,0.06008999999999999,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 01:03:00,0x87f8a2186e58853e8b37deff4d32672ac770c268,EpicGamer,sell,60.09,0.999,60.02991,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:58:38,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,30.06,0.001,0.03006,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:58:38,0x6eec94c8fa73518328a2ee109006830ccfe03e48,fatty99,sell,30.06,0.999,30.02994,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:57:34,0xd788b3743c65750e4e7edc65d551d1bf8c085572,0xD788B3743C65750e4E7Edc65d551d1Bf8c085572-1731705657816,sell,21.13,0.999,21.10887,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:57:34,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,21.13,0.001,0.02113,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:56:34,0xea5c6a40ac4e5f288aab70bf9f945e2d60d85b0f,SimilarShark,sell,827.16,0.9990000000000001,826.33284,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:56:34,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,827.16,0.001,0.82716,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:55:52,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,670.0,0.001,0.67,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:55:52,0x80ec69a2e143f1179ab03842a2836f4f7595fdc0,EasyBets,sell,670.0,0.9990000000000001,669.33,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:53:20,0xc6688ada9b5829879fd1fe816db6522247ea117f,Goose12,sell,80.81,0.999,80.72919,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:53:20,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,80.81,0.001,0.08081,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:53:20,0x83b835323077b4475e38eb77628df90fc6a5d1fb,dtbdesign,sell,121.95,0.999,121.82805,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:52:02,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,2.24,0.0009999999999999998,0.00224,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:52:02,0x54d2ed3cc7be94494f251116aa85d3b659aaf4c9,Goatguyf,sell,2.24,0.999,2.23776,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:51:40,0xa5d76487131eabe0536243952c0e521e7a8e8adc,Phosluci,sell,100.0,0.9990000000000001,99.9,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:51:40,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,100.0,0.001,0.1,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:50:52,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,597.14,0.001,0.59714,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:50:52,0x299aae6ec7b9069e1e7daafb014ee0819474a566,LiWei,sell,597.14,0.999,596.54286,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:49:06,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,214.84,0.001,0.21484,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:49:06,0x53edcfa1e81bae084e936954ff905d894adf7aea,iDumbnCooked,sell,214.84,0.999,214.62516,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,1k+ Positions
2025-01-12 00:48:40,0xf41f5f236bee07ded1a1ec9cc59f3ebde8cee827,Hot,sell,617.06,0.9990000000000001,616.44294,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:48:40,0x6cff25615924313a189d3bcd5ca99db452cdc3da,Panzwalizka,sell,617.06,0.0010000000000000002,0.61706,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k; Overall Win Rate > 67%; 1k+ Positions
2025-01-12 00:48:22,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,857.65,0.001,0.85765,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:48:22,0x8a6781932356e49638c37db5ef23a3843e5adc7c,HMPZ,sell,857.65,0.9990000000000001,856.79235,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:48:06,0x9d459fd1d82eeb39421fcf9fc95043e1789eb661,Rodri849153,sell,3680.14,0.001,3.6801399999999997,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall PnL > $10k
2025-01-12 00:48:06,0x8b68a7ee5253c81910f2942d9a72f1f7fffb795b,pankazis,buy,5550.0,0.001,5.55,16403,Chargers vs. Texans,Chargers vs. Texans,Chargers,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:48:06,0x08a6a956147f91f339340d4b1023548606a51058,hllncprktr,buy,1869.86,0.9990000000000001,1867.99014,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:47:44,0x1cb7bb99ddea622269fe28d9b827889f7c1c1132,winner47,sell,54.76,0.9990000000000001,54.70524,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:47:44,0x08a6a956147f91f339340d4b1023548606a51058,hllncprktr,buy,54.76,0.9990000000000001,54.70524,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:47:00,0xc633af1b95a54eeef6e9efae06478eb2cab7b4e7,eratosfer,sell,328.91,0.999,328.58109,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:47:00,0x08a6a956147f91f339340d4b1023548606a51058,hllncprktr,buy,328.91,0.999,328.58109,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:45:38,0x438e034ed7faf3afe095b8d7da918aee2d6a9704,AvaStarbound,sell,561.79,0.999,561.22821,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,1k+ Positions
2025-01-12 00:45:38,0x08a6a956147f91f339340d4b1023548606a51058,hllncprktr,buy,561.79,0.999,561.22821,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:45:28,0xb31871d4f6ef44020abda3a97597d09ebb882714,Hector Rottweiler,sell,5.0,0.999,4.995,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,> 1 year old; Overall Win Rate > 67%
2025-01-12 00:45:28,0x08a6a956147f91f339340d4b1023548606a51058,hllncprktr,buy,5.0,0.999,4.995,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
2025-01-12 00:44:56,0xc9a6dba2fefdedd1a32bf5ee6451d6f320dc941e,fortniteog,sell,38.14,0.999,38.10186,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,
2025-01-12 00:44:56,0x08a6a956147f91f339340d4b1023548606a51058,hllncprktr,buy,38.14,0.999,38.10186,16403,Chargers vs. Texans,Chargers vs. Texans,Texans,https://polymarket-upload.s3.us-east-2.amazonaws.com/nfl.png,Overall Win Rate > 67%
